signature,n,denominator,share
test | tests | support_only | backend_agnostic,133,5649,0.023543990086741014
performance | build+production_code+tests | kernels_operators+moe+quantization | amd_rocm,1,5649,0.0001770224818551956
feature | benchmarks+documentation_examples+production_code+tests | kv_cache_data_movement | backend_agnostic,1,5649,0.0001770224818551956
bugfix | ci+production_code | kernels_operators+sampling | intel_xpu,1,5649,0.0001770224818551956
build | build+production_code | kernels_operators+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code | moe | intel_xpu,1,5649,0.0001770224818551956
refactor | documentation_examples+production_code | attention+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | build+developer_tooling+production_code | kernels_operators+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
build | build+documentation_examples | support_only | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | benchmarks+tests | support_only | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+device_platform+kernels_operators+model_implementation+quantization | intel_xpu,1,5649,0.0001770224818551956
feature | build+production_code | kernels_operators | amd_rocm,1,5649,0.0001770224818551956
documentation | production_code | scheduler | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code+tests | kernels_operators+kv_cache_data_movement | intel_xpu,1,5649,0.0001770224818551956
feature | production_code | attention+model_implementation+model_loading_layers+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code | moe+quantization | intel_xpu,1,5649,0.0001770224818551956
feature | ci+production_code+tests | device_platform+worker_model_runner | intel_xpu,1,5649,0.0001770224818551956
bugfix | build+production_code | device_platform+kernels_operators+quantization | cpu,1,5649,0.0001770224818551956
refactor | production_code | kernels_operators | cpu,1,5649,0.0001770224818551956
feature | production_code+tests | kv_cache_data_movement+reliability_observability | cpu+nvidia_cuda,1,5649,0.0001770224818551956
ci | developer_tooling+documentation_examples | support_only | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+speculative_decoding | intel_xpu,1,5649,0.0001770224818551956
feature | ci+production_code+tests | device_platform+moe+quantization | cpu,1,5649,0.0001770224818551956
other | benchmarks+ci+documentation_examples+production_code+tests | input_processing_multimodal+model_implementation | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code | distributed_execution+engine+reliability_observability+scheduler+serving_api+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | input_processing_multimodal+serving_api | cpu,1,5649,0.0001770224818551956
refactor | production_code+tests | engine+serving_api | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code | attention+kv_cache_data_movement+model_implementation | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code | moe | intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+moe | intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+quantization+speculative_decoding | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | distributed_execution+engine+kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | configuration_shared_infrastructure+serving_api | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | lora+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
bugfix | benchmarks+production_code+tests | kernels_operators+sampling+speculative_decoding+worker_model_runner | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | model_loading_layers+quantization | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | model_loading_layers+quantization | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | attention+compilation | backend_agnostic,1,5649,0.0001770224818551956
refactor | benchmarks+documentation_examples+production_code+tests | compilation+distributed_execution+lora+model_implementation+model_loading_layers+moe+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+model_loading_layers+quantization | amd_rocm,1,5649,0.0001770224818551956
other | benchmarks+documentation_examples+production_code | kv_cache_data_movement | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | reliability_observability+worker_model_runner | cpu,1,5649,0.0001770224818551956
feature | production_code | sampling | backend_agnostic,1,5649,0.0001770224818551956
performance | build+ci+production_code+tests | kernels_operators+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | ci+documentation_examples+production_code+tests | attention+kernels_operators+model_implementation | nvidia_cuda,1,5649,0.0001770224818551956
build | build+production_code | configuration_shared_infrastructure+input_processing_multimodal+model_implementation+model_loading_layers+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code+tests | device_platform+kernels_operators+quantization | amd_rocm,1,5649,0.0001770224818551956
test | build+tests | support_only | nvidia_cuda,1,5649,0.0001770224818551956
feature | benchmarks+production_code+tests | engine | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | model_implementation+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | attention+model_implementation | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code | model_implementation+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code+tests | attention+kernels_operators | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code | attention+compilation+device_platform+distributed_execution | intel_xpu,1,5649,0.0001770224818551956
performance | production_code+tests | input_processing_multimodal+kernels_operators+lora+model_implementation+model_loading_layers+sampling+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | model_implementation+speculative_decoding | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | documentation_examples+production_code | scheduler | backend_agnostic,1,5649,0.0001770224818551956
refactor | developer_tooling+production_code+tests | attention+kernels_operators+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | ci+production_code | sampling+serving_api | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | kernels_operators+model_implementation+model_loading_layers+moe | nvidia_cuda,1,5649,0.0001770224818551956
refactor | developer_tooling+production_code | attention+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | sampling+speculative_decoding+worker_model_runner | cpu,1,5649,0.0001770224818551956
refactor | production_code+tests | device_platform+model_implementation+quantization+speculative_decoding | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | serving_api+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | kernels_operators+moe+quantization | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+speculative_decoding | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | distributed_execution+kernels_operators+moe+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | kernels_operators+moe+quantization | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | attention+kv_cache_data_movement+model_implementation+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code+tests | kernels_operators+moe+quantization | cpu,1,5649,0.0001770224818551956
performance | production_code | attention+kernels_operators+worker_model_runner | cpu,1,5649,0.0001770224818551956
feature | production_code | attention+device_platform+kernels_operators+model_loading_layers | cpu,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+model_loading_layers | google_tpu,1,5649,0.0001770224818551956
bugfix | production_code+tests | input_processing_multimodal+model_loading_layers+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code | attention+compilation+kernels_operators | backend_agnostic,1,5649,0.0001770224818551956
feature | build+ci+production_code | device_platform+worker_model_runner | cpu,1,5649,0.0001770224818551956
build | build | support_only | amd_rocm+google_tpu+intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code+tests | compilation+lora+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+kernels_operators | intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code | device_platform | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution+reliability_observability+serving_api | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code | kv_cache_data_movement | amd_rocm,1,5649,0.0001770224818551956
refactor | benchmarks+build+ci+developer_tooling+documentation_examples+production_code+tests | distributed_execution+engine+input_processing_multimodal+reliability_observability+serving_api | amd_rocm+cpu+intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | distributed_execution+serving_api | cpu,1,5649,0.0001770224818551956
performance | production_code | attention+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
maintenance | production_code | configuration_shared_infrastructure+kernels_operators | nvidia_cuda,1,5649,0.0001770224818551956
feature | build+production_code | device_platform+kernels_operators+model_loading_layers+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code+tests | kernels_operators+kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | kernels_operators | backend_agnostic,1,5649,0.0001770224818551956
feature | build+ci+documentation_examples+production_code+tests | distributed_execution+engine+serving_api | amd_rocm+cpu+intel_xpu+nvidia_cuda+other,1,5649,0.0001770224818551956
test | benchmarks | support_only | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution | amd_rocm,1,5649,0.0001770224818551956
performance | build+production_code+tests | kernels_operators+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
maintenance | developer_tooling+documentation_examples | support_only | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code | distributed_execution+reliability_observability | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | sampling+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | quantization | nvidia_cuda,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | kv_cache_data_movement+serving_api+worker_model_runner | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+device_platform | nvidia_cuda,1,5649,0.0001770224818551956
documentation | build | support_only | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | configuration_shared_infrastructure | cpu,1,5649,0.0001770224818551956
performance | benchmarks+build+production_code | compilation+kernels_operators+model_implementation+moe | nvidia_cuda,1,5649,0.0001770224818551956
feature | build+production_code | quantization | cpu+intel_xpu,1,5649,0.0001770224818551956
bugfix | ci+production_code | kernels_operators+quantization | intel_xpu,1,5649,0.0001770224818551956
bugfix | documentation_examples+production_code+tests | distributed_execution+engine+moe+scheduler+serving_api+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | benchmarks+build+documentation_examples+production_code+tests | attention+device_platform+kernels_operators | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | kernels_operators+moe | intel_xpu,1,5649,0.0001770224818551956
feature | benchmarks+documentation_examples+production_code+tests | model_loading_layers+moe+quantization+serving_api | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | ci+production_code+tests | attention+kv_cache_data_movement+speculative_decoding+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
feature | developer_tooling+documentation_examples+production_code+tests | speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+tests | support_only | nvidia_cuda,1,5649,0.0001770224818551956
performance | build+production_code+tests | kernels_operators+model_implementation+model_loading_layers | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+moe+quantization | amd_rocm,1,5649,0.0001770224818551956
performance | production_code+tests | attention+kernels_operators | intel_xpu,1,5649,0.0001770224818551956
performance | production_code | attention | cpu+intel_xpu,1,5649,0.0001770224818551956
bugfix | build+ci | support_only | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | ci+production_code+tests | kv_cache_data_movement | cpu,1,5649,0.0001770224818551956
build | build+production_code | attention+configuration_shared_infrastructure+kernels_operators+model_implementation+quantization | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | distributed_execution+kv_cache_data_movement | backend_agnostic,1,5649,0.0001770224818551956
test | production_code+tests | distributed_execution+moe | nvidia_cuda,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | kv_cache_data_movement | amd_rocm+cpu+nvidia_cuda,1,5649,0.0001770224818551956
documentation | build | support_only | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | device_platform | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | kernels_operators+moe+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
build | build+ci+tests | support_only | nvidia_cuda,1,5649,0.0001770224818551956
refactor | benchmarks+documentation_examples+production_code+tests | lora+moe+quantization | nvidia_cuda,1,5649,0.0001770224818551956
refactor | developer_tooling+production_code+tests | serving_api | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | distributed_execution+engine+worker_model_runner | intel_xpu,1,5649,0.0001770224818551956
performance | production_code | compilation | amd_rocm,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | lora+moe+serving_api | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | kernels_operators+lora+moe | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+quantization | ascend_npu,1,5649,0.0001770224818551956
performance | production_code | compilation | cpu,1,5649,0.0001770224818551956
feature | production_code | reliability_observability+worker_model_runner | intel_xpu,1,5649,0.0001770224818551956
feature | production_code | configuration_shared_infrastructure | google_tpu,1,5649,0.0001770224818551956
build | build+production_code+tests | moe+quantization | nvidia_cuda,1,5649,0.0001770224818551956
test | production_code+tests | model_loading_layers | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code+tests | attention+compilation+worker_model_runner | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | kernels_operators+quantization+serving_api | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | benchmarks+documentation_examples+production_code | other | backend_agnostic,1,5649,0.0001770224818551956
bugfix | developer_tooling+production_code+tests | attention | intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | distributed_execution+kernels_operators | amd_rocm,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution+kv_cache_data_movement+moe+scheduler+serving_api+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | developer_tooling+documentation_examples+production_code+tests | distributed_execution+model_loading_layers | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | compilation+worker_model_runner | cpu,1,5649,0.0001770224818551956
feature | production_code | attention+compilation+model_implementation | amd_rocm,1,5649,0.0001770224818551956
maintenance | benchmarks+build+ci+documentation_examples+production_code | input_processing_multimodal | amd_rocm+google_tpu+nvidia_cuda,1,5649,0.0001770224818551956
maintenance | benchmarks+documentation_examples | support_only | cpu,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | input_processing_multimodal+model_implementation+model_loading_layers+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
performance | benchmarks+build+production_code+tests | attention+device_platform+kernels_operators | cpu,1,5649,0.0001770224818551956
feature | ci+production_code+tests | device_platform+moe+quantization | amd_rocm+cpu+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code+tests | compilation+kernels_operators+model_loading_layers | amd_rocm,1,5649,0.0001770224818551956
maintenance | benchmarks+production_code+tests | attention | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | attention+scheduler+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | distributed_execution+engine | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code+tests | kv_cache_data_movement | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | kernels_operators+sampling+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code | attention+compilation+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | distributed_execution+serving_api+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
refactor | ci+production_code+tests | serving_api | amd_rocm,1,5649,0.0001770224818551956
bugfix | build+production_code | kernels_operators+quantization | cpu,1,5649,0.0001770224818551956
performance | production_code | compilation+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
performance | benchmarks+build+production_code+tests | kernels_operators+model_implementation+moe | nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | moe | amd_rocm+cpu+intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution+serving_api | backend_agnostic,1,5649,0.0001770224818551956
performance | ci+documentation_examples+production_code+tests | moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | benchmarks+production_code+tests | configuration_shared_infrastructure+input_processing_multimodal+lora+model_loading_layers | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | device_platform+kernels_operators+model_loading_layers+moe+quantization | amd_rocm,1,5649,0.0001770224818551956
performance | build+production_code+tests | device_platform+kernels_operators+quantization | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code | distributed_execution+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | ci+production_code+tests | device_platform+kernels_operators+sampling | cpu,1,5649,0.0001770224818551956
build | build+production_code | attention+kernels_operators+kv_cache_data_movement+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code | kernels_operators+model_implementation+model_loading_layers+moe+quantization+speculative_decoding | nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | compilation+model_implementation+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code+tests | engine+worker_model_runner | cpu,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | attention+input_processing_multimodal+kernels_operators+kv_cache_data_movement+model_implementation+moe+quantization+speculative_decoding+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
performance | benchmarks+ci | support_only | backend_agnostic,1,5649,0.0001770224818551956
bugfix | documentation_examples+tests | support_only | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | compilation+distributed_execution | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code | attention+compilation+model_implementation+moe | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | device_platform+distributed_execution+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | compilation+model_implementation+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | attention+kernels_operators+kv_cache_data_movement | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code | attention+kernels_operators+speculative_decoding | intel_xpu,1,5649,0.0001770224818551956
refactor | production_code | sampling | nvidia_cuda,1,5649,0.0001770224818551956
feature | documentation_examples+production_code+tests | attention+input_processing_multimodal+model_implementation+model_loading_layers+quantization+speculative_decoding+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | build+production_code | attention+configuration_shared_infrastructure+distributed_execution+kernels_operators+model_loading_layers+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | device_platform+engine+kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | lora+serving_api | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | sampling+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | attention | cpu,1,5649,0.0001770224818551956
performance | production_code+tests | input_processing_multimodal+other+scheduler+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code+tests | lora+serving_api | backend_agnostic,1,5649,0.0001770224818551956
feature | benchmarks+tests | support_only | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code+tests | sampling+worker_model_runner | amd_rocm,1,5649,0.0001770224818551956
feature | production_code | configuration_shared_infrastructure+device_platform | backend_agnostic,1,5649,0.0001770224818551956
maintenance | benchmarks+documentation_examples+production_code | configuration_shared_infrastructure | cpu,1,5649,0.0001770224818551956
refactor | production_code | model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | kernels_operators+moe+quantization | cpu+nvidia_cuda,1,5649,0.0001770224818551956
performance | ci+production_code+tests | distributed_execution+engine+kernels_operators+scheduler+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | configuration_shared_infrastructure+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
feature | production_code | compilation+device_platform | intel_xpu,1,5649,0.0001770224818551956
refactor | production_code+tests | configuration_shared_infrastructure+engine | nvidia_cuda,1,5649,0.0001770224818551956
feature | benchmarks+documentation_examples+production_code+tests | input_processing_multimodal | backend_agnostic,1,5649,0.0001770224818551956
feature | build+production_code | distributed_execution+kernels_operators | cpu,1,5649,0.0001770224818551956
maintenance | production_code | kv_cache_data_movement | cpu,1,5649,0.0001770224818551956
performance | build+ci+production_code+tests | kernels_operators+model_implementation | cpu,1,5649,0.0001770224818551956
bugfix | production_code | speculative_decoding+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | kv_cache_data_movement+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | compilation+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
performance | build | support_only | amd_rocm,1,5649,0.0001770224818551956
test | documentation_examples+tests | support_only | nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code | moe+quantization | intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | build+production_code | quantization | nvidia_cuda,1,5649,0.0001770224818551956
feature | benchmarks+documentation_examples+tests | support_only | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | kv_cache_data_movement | amd_rocm,1,5649,0.0001770224818551956
maintenance | production_code+tests | reliability_observability | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code+tests | kernels_operators+model_implementation+moe | nvidia_cuda,1,5649,0.0001770224818551956
performance | benchmarks+production_code+tests | kernels_operators+lora+moe | amd_rocm+intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
refactor | benchmarks+build+production_code | kernels_operators+model_implementation+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | model_implementation+speculative_decoding | amd_rocm,1,5649,0.0001770224818551956
performance | benchmarks+production_code+tests | kernels_operators | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+kernels_operators+kv_cache_data_movement+model_implementation+moe+speculative_decoding | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code+tests | engine+input_processing_multimodal+serving_api | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | attention+compilation+model_implementation | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | device_platform+kernels_operators+moe+quantization | intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code+tests | kernels_operators+sampling | backend_agnostic,1,5649,0.0001770224818551956
refactor | build+production_code | attention+kernels_operators+model_loading_layers+quantization | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | production_code | kernels_operators+moe | intel_xpu,1,5649,0.0001770224818551956
bugfix | production_code+tests | compilation+kernels_operators+model_implementation+model_loading_layers | amd_rocm,1,5649,0.0001770224818551956
test | documentation_examples+tests | support_only | amd_rocm,1,5649,0.0001770224818551956
bugfix | production_code+tests | engine | amd_rocm,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+kernels_operators+model_implementation+model_loading_layers | intel_xpu,1,5649,0.0001770224818551956
performance | benchmarks+documentation_examples+production_code+tests | kv_cache_data_movement+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code+tests | kernels_operators+kv_cache_data_movement | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | attention+kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | documentation_examples+production_code+tests | attention+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | compilation+model_implementation | nvidia_cuda,1,5649,0.0001770224818551956
performance | ci+production_code+tests | kernels_operators+quantization | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | distributed_execution+serving_api | backend_agnostic,1,5649,0.0001770224818551956
performance | production_code | kernels_operators+model_implementation | backend_agnostic,1,5649,0.0001770224818551956
feature | ci+production_code | kernels_operators+quantization | cpu,1,5649,0.0001770224818551956
feature | production_code | compilation+kernels_operators+model_implementation+speculative_decoding+worker_model_runner | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
performance | benchmarks+production_code+tests | kernels_operators+moe | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code | kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
refactor | production_code | attention+model_implementation+moe+speculative_decoding | amd_rocm+intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | build+production_code | kernels_operators+quantization | nvidia_cuda,1,5649,0.0001770224818551956
other | production_code+tests | kv_cache_data_movement | backend_agnostic,1,5649,0.0001770224818551956
performance | build+production_code+tests | device_platform+kernels_operators+model_implementation+model_loading_layers+speculative_decoding | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | input_processing_multimodal+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | attention+reliability_observability | amd_rocm,1,5649,0.0001770224818551956
refactor | production_code+tests | kernels_operators+moe | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
refactor | production_code+tests | moe+quantization | cpu,1,5649,0.0001770224818551956
feature | production_code | attention+kernels_operators+kv_cache_data_movement+worker_model_runner | backend_agnostic,1,5649,0.0001770224818551956
bugfix | production_code | kv_cache_data_movement+model_implementation | backend_agnostic,1,5649,0.0001770224818551956
build | build+developer_tooling+production_code | attention+kernels_operators+model_implementation+sampling | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | distributed_execution+moe | amd_rocm,1,5649,0.0001770224818551956
documentation | developer_tooling+documentation_examples | support_only | ascend_npu,1,5649,0.0001770224818551956
bugfix | production_code | kernels_operators+model_implementation | amd_rocm+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | attention+device_platform+kv_cache_data_movement+worker_model_runner | amd_rocm+intel_xpu+nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code | input_processing_multimodal+model_implementation+model_loading_layers | amd_rocm,1,5649,0.0001770224818551956
bugfix | ci+production_code | attention+speculative_decoding+worker_model_runner | nvidia_cuda,1,5649,0.0001770224818551956
bugfix | production_code+tests | distributed_execution+engine+serving_api | backend_agnostic,1,5649,0.0001770224818551956
performance | documentation_examples+production_code+tests | compilation+kernels_operators+model_implementation | nvidia_cuda,1,5649,0.0001770224818551956
feature | production_code+tests | model_implementation+model_loading_layers+quantization | nvidia_cuda,1,5649,0.0001770224818551956
other | production_code | distributed_execution+kernels_operators+model_implementation+moe+speculative_decoding | amd_rocm,1,5649,0.0001770224818551956
feature | build+documentation_examples+production_code+tests | engine | backend_agnostic,1,5649,0.0001770224818551956
feature | build+production_code+tests | input_processing_multimodal+model_implementation+serving_api | backend_agnostic,1,5649,0.0001770224818551956
test | production_code+tests | model_implementation | amd_rocm,1,5649,0.0001770224818551956
bugfix | build+production_code+tests | sampling | backend_agnostic,1,5649,0.0001770224818551956
ci | build+ci+production_code+tests | model_loading_layers | amd_rocm,1,5649,0.0001770224818551956
feature | production_code+tests | lora | backend_agnostic,1,5649,0.0001770224818551956
build | build+ci+production_code | kernels_operators+moe | cpu,1,5649,0.0001770224818551956
performance | production_code | sampling+speculative_decoding | backend_agnostic,1,5649,0.0001770224818551956
